Week,Days Out,Date,Day,Plan,Actual,Dist (mi),Total Time,Avg Pace,Seg Time,Seg Dist (mi),Seg Pace,Wkly Total (Plan),Actual Wkly Total (time/ dist),Notes,Overall Totals (time/ actual dist/ plan dist) ,% to Plan,
,56,16-Feb,Su,MLR 14,,,,0:00,,,0:00,43,0,,,#DIV/0!,Overall
Week 7,55,17-Feb,M,Rest,,,,0:00,,,0:00,,,,,,
,54,18-Feb,T,Rec + Sp 7 w/ 6 x 100 strides,,,,0:00,,,0:00,,,,,,
,53,19-Feb,W,LT 11 w/ 7 @ 15K to HMP,,,,0:00,,,0:00,,,,,,
,52,20-Feb,Th,Rest,,,,0:00,,,0:00,,,,,,
,51,21-Feb,F,MLR 12,,,,0:00,,,0:00,,,,,,
,50,22-Feb,Sa,Rec 5,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,49,23-Feb,Su,LR 20,,,,0:00,,,0:00,55,0,,,#DIV/0!,Overall
Week 6,48,24-Feb,M,Rest,,,,0:00,,,0:00,,,,,,
,47,25-Feb,T,V8 w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
        47,25-Feb,T,VO₂Max w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
,46,26-Feb,W,MLR 12,,,,0:00,,,0:00,,,,,,
,45,27-Feb,Th,Rest,,,,0:00,,,0:00,,,,,,
,44,28-Feb,F,Rec + Sp 5 w/  6 x 100 strides,,,,0:00,,,0:00,,,,,,
,43,1-Mar,Sa,8K-15K tune-up race ,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,42,2-Mar,Su,LR 17,,,,0:00,,,0:00,55,0,,,#DIV/0!,Overall
Week 5,41,3-Mar,M,Rest,,,,0:00,,,0:00,,,,,,
,40,4-Mar,T,GA 8,,,,0:00,,,0:00,,,,,,
,39,5-Mar,W,V9 w/ 5 x 1000 @ 5k pace,,,,0:00,,,0:00,,,,,,
,38,6-Mar,Th,Rest,,,,0:00,,,0:00,,,,,,
,37,7-Mar,F,MLR 12,,,,0:00,,,0:00,,,,,,
,36,8-Mar,Sa,Rec 5,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,35,9-Mar,Su,MP 18 w/ 14 @ MP,,,,0:00,,,0:00,52,0,,,#DIV/0!,Overall
Week 4,34,10-Mar,M,Rest,,,,0:00,,,0:00,,,,,,
,33,11-Mar,T,V8 w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
        33,11-Mar,T,VO₂Max w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
,32,12-Mar,W,MLR 11,,,,0:00,,,0:00,,,,,,
,31,13-Mar,Th,Rest,,,,0:00,,,0:00,,,,,,
,30,14-Mar,F,Rec + Sp 4 w/ 6 x 100 strides,,,,0:00,,,0:00,,,,,,
,29,15-Mar,Sa,8K - 15K tune-up race,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,28,16-Mar,Su,LR 17,,,,0:00,,,0:00,53,0,,,#DIV/0!,Overall
Week 3,27,17-Mar,M,Rest,,,,0:00,,,0:00,,,,,,
,26,18-Mar,T,Rec + Sp 7 w/ 6 x 100 strides,,,,0:00,,,0:00,,,,,,
,25,19-Mar,W,V10 w/ 4 x 1200 @ 5K pace,,,,0:00,,,0:00,,,,,,
,24,20-Mar,Th,Rest,,,,0:00,,,0:00,,,,,,
,23,21-Mar,F,MLR 11,,,,0:00,,,0:00,,,,,,
,22,22-Mar,Sa,Rec 4,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,21,23-Mar,Su,LR 20,,,,0:00,,,0:00,52,0,,,#DIV/0!,Overall
Week 2,20,24-Mar,M,Rest,,,,0:00,,,0:00,,,,,,
,19,25-Mar,T,V8 w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
        19,25-Mar,T,VO₂Max w/ 5 x 600 @ 5K pace,,,,0:00,,,0:00,,,,,,
,18,26-Mar,W,Rec 6,,,,0:00,,,0:00,,,,,,
,17,27-Mar,Th,Rest,,,,0:00,,,0:00,,,,,,
,16,28-Mar,F,Rec + Sp 4 w/ 6 x 100 strides,,,,0:00,,,0:00,,,,,,
,15,29-Mar,Sa,8K - 10K tune-up race,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,14,30-Mar,Su,LR 16,,,,0:00,,,0:00,45,0,,,#DIV/0!,Overall
Week 1,13,31-Mar,M,Rest,,,,0:00,,,0:00,,,,,,
,12,1-Apr,T,GA + Sp 7 w/ 8 x 100 strides,,,,0:00,,,0:00,,,,,,
,11,2-Apr,W,V8 w/ 3 x 1600 @ 5K pace,,,,0:00,,,0:00,,,,,,
        11,2-Apr,W,VO₂Max w/ 3 x 1600 @ 5K pace,,,,0:00,,,0:00,,,,,,
,10,3-Apr,Th,Rest,,,,0:00,,,0:00,,,,,,
,9,4-Apr,F,Rec + Sp 5 w/  6 x 100 strides,,,,0:00,,,0:00,,,,,,
,8,5-Apr,Sa,Rest,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,7,6-Apr,Su,MLR 12,,,,0:00,,,0:00,32,0,,,#DIV/0!,Overall
Race Week,6,7-Apr,M,Rest,,,,0:00,,,0:00,,,,,,
,5,8-Apr,T,Rec 6,,,,0:00,,,0:00,,,,,,
,4,9-Apr,W,Dress Rehearsal 7 w/ 2 @ MP,,,,0:00,,,0:00,,,,,,
,3,10-Apr,Th,Rest,,,,0:00,,,0:00,,,,,,
,2,11-Apr,F,Rec + Sp 5 w/  6 x 100 strides,,,,0:00,,,0:00,,,,,,
,1,12-Apr,Sa,Rec 4,,,,0:00,,,0:00,,0:00:00,,,0%,Weekly
,0,13-Apr,Su,Rock the fuckin' house 26.2,,,,0:00,,,0:00,48.2,0,,,#DIV/0!,Overall
